ID;color;size;act;age;inflated
1;YELLOW;SMALL;STRETCH;ADULT;T
2;YELLOW;SMALL;STRETCH;ADULT;T
3;YELLOW;SMALL;STRETCH;ADULT;T
4;YELLOW;SMALL;STRETCH;ADULT;T
5;YELLOW;SMALL;STRETCH;ADULT;T
6;YELLOW;SMALL;STRETCH;ADULT;T
7;YELLOW;SMALL;STRETCH;ADULT;T
8;YELLOW;SMALL;STRETCH;ADULT;T
9;YELLOW;SMALL;STRETCH;ADULT;T
10;YELLOW;SMALL;STRETCH;ADULT;T
11;YELLOW;SMALL;STRETCH;CHILD;F
12;YELLOW;SMALL;STRETCH;CHILD;F
13;YELLOW;SMALL;STRETCH;CHILD;F
14;YELLOW;SMALL;STRETCH;CHILD;F
15;YELLOW;SMALL;STRETCH;CHILD;F
16;YELLOW;SMALL;DIP;ADULT;F
17;YELLOW;SMALL;DIP;ADULT;F
18;YELLOW;SMALL;DIP;ADULT;F
19;YELLOW;SMALL;DIP;ADULT;F
20;YELLOW;SMALL;DIP;ADULT;F
21;YELLOW;SMALL;DIP;CHILD;F
22;YELLOW;SMALL;DIP;CHILD;F
23;YELLOW;SMALL;DIP;CHILD;F
24;YELLOW;SMALL;DIP;CHILD;F
25;YELLOW;SMALL;DIP;CHILD;F
26;YELLOW;LARGE;STRETCH;ADULT;T
27;YELLOW;LARGE;STRETCH;ADULT;T
28;YELLOW;LARGE;STRETCH;ADULT;T
29;YELLOW;LARGE;STRETCH;ADULT;T
30;YELLOW;LARGE;STRETCH;ADULT;T
31;YELLOW;LARGE;STRETCH;ADULT;T
32;YELLOW;LARGE;STRETCH;ADULT;T
33;YELLOW;LARGE;STRETCH;ADULT;T
34;YELLOW;LARGE;STRETCH;ADULT;T
35;YELLOW;LARGE;STRETCH;ADULT;T
36;YELLOW;LARGE;STRETCH;CHILD;F
37;YELLOW;LARGE;STRETCH;CHILD;F
38;YELLOW;LARGE;STRETCH;CHILD;F
39;YELLOW;LARGE;STRETCH;CHILD;F
40;YELLOW;LARGE;STRETCH;CHILD;F
41;YELLOW;LARGE;DIP;ADULT;F
42;YELLOW;LARGE;DIP;ADULT;F
43;YELLOW;LARGE;DIP;ADULT;F
44;YELLOW;LARGE;DIP;ADULT;F
45;YELLOW;LARGE;DIP;ADULT;F
46;YELLOW;LARGE;DIP;CHILD;F
47;YELLOW;LARGE;DIP;CHILD;F
48;YELLOW;LARGE;DIP;CHILD;F
49;YELLOW;LARGE;DIP;CHILD;F
50;YELLOW;LARGE;DIP;CHILD;F
51;PURPLE;SMALL;STRETCH;ADULT;T
52;PURPLE;SMALL;STRETCH;ADULT;T
53;PURPLE;SMALL;STRETCH;ADULT;T
54;PURPLE;SMALL;STRETCH;ADULT;T
55;PURPLE;SMALL;STRETCH;ADULT;T
56;PURPLE;SMALL;STRETCH;ADULT;T
57;PURPLE;SMALL;STRETCH;ADULT;T
58;PURPLE;SMALL;STRETCH;ADULT;T
59;PURPLE;SMALL;STRETCH;ADULT;T
60;PURPLE;SMALL;STRETCH;ADULT;T
61;PURPLE;SMALL;STRETCH;CHILD;F
62;PURPLE;SMALL;STRETCH;CHILD;F
63;PURPLE;SMALL;STRETCH;CHILD;F
64;PURPLE;SMALL;STRETCH;CHILD;F
65;PURPLE;SMALL;STRETCH;CHILD;F
66;PURPLE;SMALL;DIP;ADULT;F
67;PURPLE;SMALL;DIP;ADULT;F
68;PURPLE;SMALL;DIP;ADULT;F
69;PURPLE;SMALL;DIP;ADULT;F
70;PURPLE;SMALL;DIP;ADULT;F
71;PURPLE;SMALL;DIP;CHILD;F
72;PURPLE;SMALL;DIP;CHILD;F
73;PURPLE;SMALL;DIP;CHILD;F
74;PURPLE;SMALL;DIP;CHILD;F
75;PURPLE;SMALL;DIP;CHILD;F
76;PURPLE;LARGE;STRETCH;ADULT;T
77;PURPLE;LARGE;STRETCH;ADULT;T
78;PURPLE;LARGE;STRETCH;ADULT;T
79;PURPLE;LARGE;STRETCH;ADULT;T
80;PURPLE;LARGE;STRETCH;ADULT;T
81;PURPLE;LARGE;STRETCH;ADULT;T
82;PURPLE;LARGE;STRETCH;ADULT;T
83;PURPLE;LARGE;STRETCH;ADULT;T
84;PURPLE;LARGE;STRETCH;ADULT;T
85;PURPLE;LARGE;STRETCH;ADULT;T
86;PURPLE;LARGE;STRETCH;CHILD;F
87;PURPLE;LARGE;STRETCH;CHILD;F
88;PURPLE;LARGE;STRETCH;CHILD;F
89;PURPLE;LARGE;STRETCH;CHILD;F
90;PURPLE;LARGE;STRETCH;CHILD;F
91;PURPLE;LARGE;DIP;ADULT;F
92;PURPLE;LARGE;DIP;ADULT;F
93;PURPLE;LARGE;DIP;ADULT;F
94;PURPLE;LARGE;DIP;ADULT;F
95;PURPLE;LARGE;DIP;ADULT;F
96;PURPLE;LARGE;DIP;CHILD;F
97;PURPLE;LARGE;DIP;CHILD;F
98;PURPLE;LARGE;DIP;CHILD;F
99;PURPLE;LARGE;DIP;CHILD;F
100;PURPLE;LARGE;DIP;CHILD;F
